# Written on  7Apr2024 at 17:13:11 
# Input file comment: Au
#  Kpt_idx  K_x (1/ang)       K_y (1/ang)        K_z (1/ang)       Energy (eV)
         9 -0.2510489347      0.2510489347      0.7531468343       113.5532551    
         9 -0.2510489347      0.2510489347      0.7531468343       113.8889955    
         9 -0.2510489347      0.2510489347      0.7531468343       116.9164183    
         9 -0.2510489347      0.2510489347      0.7531468343       117.5208279    
        10 -0.5020978845      0.5020978845       1.004195784       100.7363205    
        10 -0.5020978845      0.5020978845       1.004195784       105.7538110    
        10 -0.5020978845      0.5020978845       1.004195784       106.8109514    
        10 -0.5020978845      0.5020978845       1.004195784       108.3573795    
        10 -0.5020978845      0.5020978845       1.004195784       108.9404559    
        10 -0.5020978845      0.5020978845       1.004195784       109.8985191    
        10 -0.5020978845      0.5020978845       1.004195784       110.8604988    
        10 -0.5020978845      0.5020978845       1.004195784       114.1207049    
        10 -0.5020978845      0.5020978845       1.004195784       117.0538904    
        10 -0.5020978845      0.5020978845       1.004195784       118.5291997    
        11  0.7531468343     -0.7531468343     -0.2510489347       98.71596849    
        11  0.7531468343     -0.7531468343     -0.2510489347       100.8958095    
        11  0.7531468343     -0.7531468343     -0.2510489347       102.7177680    
        11  0.7531468343     -0.7531468343     -0.2510489347       104.0624511    
        11  0.7531468343     -0.7531468343     -0.2510489347       108.2588905    
        11  0.7531468343     -0.7531468343     -0.2510489347       112.2149183    
        11  0.7531468343     -0.7531468343     -0.2510489347       112.8921284    
        11  0.7531468343     -0.7531468343     -0.2510489347       114.9164895    
        11  0.7531468343     -0.7531468343     -0.2510489347       117.2767819    
        11  0.7531468343     -0.7531468343     -0.2510489347       118.2677604    
        12  0.5020978996     -0.5020978996       0.000000000       99.72118103    
        12  0.5020978996     -0.5020978996       0.000000000       101.9541473    
        12  0.5020978996     -0.5020978996       0.000000000       102.9192862    
        12  0.5020978996     -0.5020978996       0.000000000       105.7244223    
        12  0.5020978996     -0.5020978996       0.000000000       105.9284535    
        12  0.5020978996     -0.5020978996       0.000000000       113.2619026    
        12  0.5020978996     -0.5020978996       0.000000000       113.6542510    
        12  0.5020978996     -0.5020978996       0.000000000       116.2271298    
        12  0.5020978996     -0.5020978996       0.000000000       116.7276756    
        12  0.5020978996     -0.5020978996       0.000000000       119.0862900    
        13  0.5020978845     -0.5020978845      0.5020978845       101.1841432    
        13  0.5020978845     -0.5020978845      0.5020978845       101.5590158    
        13  0.5020978845     -0.5020978845      0.5020978845       102.4069089    
        13  0.5020978845     -0.5020978845      0.5020978845       104.8523979    
        13  0.5020978845     -0.5020978845      0.5020978845       105.2523992    
        13  0.5020978845     -0.5020978845      0.5020978845       105.7113046    
        13  0.5020978845     -0.5020978845      0.5020978845       107.0553431    
        13  0.5020978845     -0.5020978845      0.5020978845       113.1529589    
        13  0.5020978845     -0.5020978845      0.5020978845       116.9357197    
        13  0.5020978845     -0.5020978845      0.5020978845       117.3979403    
        14  0.2510489347     -0.2510489347      0.7531468343       101.1063132    
        14  0.2510489347     -0.2510489347      0.7531468343       102.1924295    
        14  0.2510489347     -0.2510489347      0.7531468343       103.1612896    
        14  0.2510489347     -0.2510489347      0.7531468343       104.7422100    
        14  0.2510489347     -0.2510489347      0.7531468343       109.7678233    
        14  0.2510489347     -0.2510489347      0.7531468343       112.1585395    
        14  0.2510489347     -0.2510489347      0.7531468343       112.8376651    
        14  0.2510489347     -0.2510489347      0.7531468343       113.7393403    
        14  0.2510489347     -0.2510489347      0.7531468343       116.9658813    
        14  0.2510489347     -0.2510489347      0.7531468343       117.1356391    
        15   0.000000000       0.000000000       1.004195769       99.97046355    
        15   0.000000000       0.000000000       1.004195769       100.1973939    
        15   0.000000000       0.000000000       1.004195769       100.5699973    
        15   0.000000000       0.000000000       1.004195769       103.5115340    
        15   0.000000000       0.000000000       1.004195769       103.6704504    
        15   0.000000000       0.000000000       1.004195769       106.4382010    
        15   0.000000000       0.000000000       1.004195769       114.6838256    
        15   0.000000000       0.000000000       1.004195769       115.8539865    
        15   0.000000000       0.000000000       1.004195769       118.2468040    
        15   0.000000000       0.000000000       1.004195769       119.2382558    
        16 -0.2510489498      0.2510489498       1.255244719       101.6546672    
        16 -0.2510489498      0.2510489498       1.255244719       104.1704476    
        16 -0.2510489498      0.2510489498       1.255244719       106.4413533    
        16 -0.2510489498      0.2510489498       1.255244719       109.3402294    
        16 -0.2510489498      0.2510489498       1.255244719       110.4812216    
